Discount,Revenue,Profit,Orders,Profit Margin %
0.0,1105323.79,326718.5872,2714,29.56
0.1,54952.497,9099.97,91,16.56
0.15,27558.5215,1418.9914999999999,51,5.15
0.2,773939.396,91079.95169999999,2440,11.77
0.3,104474.067,-10513.445600000001,214,-10.06
0.32,14493.4588,-2391.1377,27,-16.5
0.4,116497.758,-23086.374200000002,186,-19.82
0.45,5484.974,-2493.1111,10,-45.45
0.5,58918.54,-20506.4281,64,-34.8
0.6,7105.94,-6164.3472,138,-86.75
0.7,40805.266,-40300.5727,349,-98.76
0.8,16980.146,-30565.2692,251,-180.01
