Product ID,Product Name,Revenue,Profit,Quantity
TEC-MA-10002412,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,-1811.0784,6
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,21870.576,1.1368683772161603e-13,39
OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,17965.068,-1878.1662000000006,27
OFF-SU-10000151,High Speed Automatic Electric Letter Opener,17030.311999999998,-262.00480000000005,11
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,16829.901,-4589.973000000001,18
OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,16656.2,-1299.1835999999996,22
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.9656,-669.5448000000002,24
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,13565.5715,-359.35409999999973,53
TEC-MA-10000418,Cubify CubeX 3D Printer Double Head Print,11099.963,-8879.9704,9
FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9917.64,-2876.1156,27
FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,9544.725,-1934.3976,33
OFF-ST-10004459,Tennsco Single-Tier Lockers,9158.296,-825.7479999999999,28
FUR-TA-10001095,Chromcraft Round Conference Tables,8209.059,-189.97610000000003,61
TEC-MA-10004125,Cubify CubeX 3D Printer Triple Head Print,7999.98,-3839.9904,4
FUR-TA-10003954,Hon 94000 Series Round Tables,7404.5,-681.2139999999999,30
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,7242.768,-532.7613,29
FUR-TA-10002958,"Bevis Oval Conference Table, Walnut",6942.068,-856.0144000000001,36
FUR-TA-10001950,Balt Solid Wood Round Tables,6518.754,-1201.0581,19
FUR-TA-10004575,Hon 5100 Series Wood Tables,5965.09,-238.60360000000003,26
FUR-TA-10004915,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",5801.816,-66.82720000000003,23
FUR-TA-10004256,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,5634.9,-964.1940000000001,17
