Year-Month,Revenue,Profit,Orders,Customers,Revenue MoM %,Profit MoM %,AOV
2023-01,14518.055,2539.3907,33,33,,,439.94
2023-02,4519.892,862.3083999999999,28,27,-68.87,-66.04,161.42
2023-03,56933.909,693.4498999999996,72,70,1159.63,-19.58,790.75
2023-04,28295.345,3488.8352,66,64,-50.3,403.11,428.72
2023-05,26319.767,3196.3918,72,68,-6.98,-8.38,365.55
2023-06,34669.4796,4999.7594,67,64,31.72,56.42,517.45
2023-07,33946.393,-841.4826,65,65,-2.09,-116.83,522.25
2023-08,28918.3385,5765.225,75,73,-14.81,-785.13,385.58
2023-09,82670.4288,8593.630199999998,134,121,185.88,49.06,616.94
2023-10,32413.339,3469.1749,81,76,-60.79,-59.63,400.16
2023-11,78826.9567,9362.955699999999,152,140,143.19,169.89,518.6
2023-12,72008.3085,9554.6571,150,141,-8.65,2.05,480.06
2024-01,18461.9156,-3189.803,31,29,-74.36,-133.38,595.55
2024-02,11951.411,2813.8508,36,36,-35.26,-188.21,331.98
2024-03,39978.628,9930.6134,81,78,234.51,252.92,493.56
2024-04,34195.2085,4187.4962000000005,72,69,-14.47,-57.83,474.93
2024-05,30246.9465,4677.137,75,70,-11.55,11.69,403.29
2024-06,24797.292,3335.5572,68,68,-18.02,-28.68,364.67
2024-07,28765.325,3288.6483,66,64,16.0,-1.41,435.84
2024-08,37057.0042,5371.627399999999,69,64,28.83,63.34,537.06
2024-09,64627.046,8220.025099999999,142,127,74.4,53.03,455.12
2024-10,31407.1335,2817.966,88,80,-51.4,-65.72,356.9
2024-11,75972.5635,12474.7884,158,146,141.9,342.69,480.84
2024-12,75532.5572,8093.0626999999995,167,143,-0.58,-35.12,452.29
2025-01,18830.331000000002,2916.0233,50,48,-75.07,-63.97,376.61
2025-02,22978.815000000002,5004.5795,45,42,22.03,71.62,510.64
2025-03,53031.069,3707.8862,88,82,130.78,-25.91,602.63
2025-04,38829.159,2991.6609000000003,90,83,-26.78,-19.32,431.44
2025-05,57042.838,8676.696399999999,109,97,46.91,190.03,523.33
2025-06,40937.148,4926.3194,100,96,-28.23,-43.22,409.37
2025-07,40300.498999999996,4559.882699999999,97,89,-1.56,-7.44,415.47
2025-08,31716.8143,2317.4993000000004,91,87,-21.3,-49.18,348.54
2025-09,73521.6629,9370.103099999998,195,177,131.81,304.32,377.03
2025-10,59831.001,16256.842200000001,107,96,-18.62,73.5,559.17
2025-11,79411.9658,4011.4074999999993,183,165,32.73,-75.32,433.95
2025-12,97502.277,17926.3013,185,163,22.78,346.88,527.04
2026-01,44259.214,7231.639099999999,71,69,-54.61,-59.66,623.37
2026-02,20301.1334,1613.8719999999996,53,53,-54.13,-77.68,383.04
2026-03,60728.4808,15013.091,121,121,199.14,830.25,501.89
2026-04,36779.0361,957.5299999999996,117,110,-39.44,-93.62,314.35
2026-05,45155.4822,6299.807199999999,121,115,22.78,557.92,373.19
2026-06,53056.0777,8246.5707,134,119,17.5,30.9,395.94
2026-07,45989.496,7006.5012,112,103,-13.32,-15.04,410.62
2026-08,64129.758,9488.0722,114,105,39.44,35.42,562.54
2026-09,88064.532,11050.8024,231,199,37.32,16.47,381.23
2026-10,83474.7832,10670.5312,151,138,-5.21,-3.44,552.81
2026-11,118454.505,9692.1037,262,217,41.9,-9.17,452.12
2026-12,85175.0328,8655.8269,236,202,-28.09,-10.69,360.91
