Sub-Category,Revenue,Profit,Quantity,Orders,Profit Margin %
Copiers,150745.29,56093.9365,242,70,37.21
Phones,331842.64,45050.8265,3357,826,13.58
Accessories,167380.318,41936.6357,2976,718,25.05
Paper,79540.538,34511.507,5207,1205,43.39
Binders,207354.881,31426.1003,6071,1339,15.16
Chairs,335768.249,27223.532299999995,2431,591,8.11
Storage,224644.554,21285.1115,3191,787,9.48
Appliances,108213.185,18329.4844,1750,459,16.94
Furnishings,95598.126,13891.743,3799,919,14.53
Envelopes,16528.362,6988.0247,914,251,42.28
Art,27659.014,6653.1962,3092,756,24.05
Labels,12695.042,5572.778,1410,348,43.9
Machines,189925.031,3461.9768999999987,442,114,1.82
Fasteners,8532.24,2428.6358000000005,980,226,28.46
Supplies,46725.498,-1171.3944999999999,653,189,-2.51
Bookcases,115361.2043,-3632.073600000002,878,228,-3.15
Tables,208020.182,-17753.2061,1261,314,-8.53
